,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"E2-DB36",,"","",2,0,0,2,,0,0,,0
"E2-DDB30",,"","",0,0,0,0,,0,0,,0
"E2-DDB36",,"","",0,0,0,0,,0,0,,0
"E2-DWP",,"","",85,0,0,85,,0,0,,0
"E2-FSB33",,"","",0,0,0,0,,0,0,,0
"E2-FSB39",,"","",0,0,0,0,,0,0,,0
"E2-GRPO",,"","",0,0,0,0,,0,0,,0
"E2-GW1530-BOX",,"","",0,0,0,0,,0,0,,0
"E2-GW1530-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"E2-GW1539-BOX",,"","",3,0,0,3,,0,0,,0
"E2-GW1539-GLASS DOOR",,"","",1,0,0,1,,0,0,,0
"E2-GW1830-BOX",,"","",6,0,0,6,,0,0,,0
"E2-GW1830-GLASS DOOR",,"","",4,0,0,4,,0,0,,0
"E2-GW1839-BOX",,"","",4,0,0,4,,0,0,,0
"E2-GW1839-GLASS DOOR",,"","",5,0,0,5,,0,0,,0
"E2-GW2430-BOX",,"","",2,0,0,2,,0,0,,0
"E2-GW2430-GLASS DOOR",,"","",9,0,0,9,,0,0,,0
"E2-GW2439-BOX",,"","",6,0,0,6,,0,0,,0
"E2-GW2439-GLASS DOOR",,"","",10,0,0,10,,0,0,,0
"E2-GW3030-BOX",,"","",8,0,0,8,,0,0,,0
"E2-GW3030-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"E2-GW3039-BOX",,"","",4,0,0,4,,0,0,,0
"E2-GW3039-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"E2-GW3630-BOX",,"","",5,0,0,5,,0,0,,0
"E2-GW3630-GLASS DOOR",,"","",4,0,0,4,,0,0,,0
"E2-GW3639-BOX",,"","",5,0,0,5,,0,0,,0
"E2-GW3639-GLASS DOOR",,"","",0,0,0,0,,0,0,,0
"E2-GWDC2430-BOX",,"","",12,0,0,12,,0,0,,0
"E2-GWDC2430-GLASS DOOR",,"","",16,0,0,16,,0,0,,0
"E2-GWDC2439-BOX",,"","",28,0,0,28,,0,0,,0
"E2-GWDC2439-GLASS DOOR",,"","",40,0,0,40,,0,0,,0
"E2-LSB33",,"","",67,0,0,67,,0,0,,0
"E2-LSB36",,"","",150,0,0,150,,0,0,,0
"E2-MWC2730",,"","",2,0,0,2,,0,0,,0
"E2-MWC2739",,"","",16,0,0,16,,0,0,,0
"E2-MWC3030",,"","",4,0,0,4,,0,0,,0
"E2-MWC3039",,"","",7,0,0,7,,0,0,,0
"E2-OC3384",,"","",0,0,0,0,,0,0,,0
"E2-OC3393",,"","",0,0,0,0,,0,0,,0
"E2-OCM8",,"","",78,0,0,78,,0,0,,0
"E2-PC1884",,"","",11,0,0,11,,0,0,,0
"E2-PC1893",,"","",36,0,0,36,,0,0,,0
"E2-PC2484",,"","",17,0,0,17,,0,0,,0
"E2-PC2493",,"","",21,0,0,21,,0,0,,0
"E2-PC3084",,"","",5,0,0,5,,0,0,,0
"E2-PC3093",,"","",0,0,0,0,,0,0,,0
"E2-PN4896",,"","",128,0,0,128,,0,0,,0
"E2-PRC3018",,"","",0,0,0,0,,0,0,,0
"E2-RC58",,"","",0,0,0,0,,0,0,,0
"E2-REF2496",,"","",250,0,0,250,,0,0,,0
"E2-REF3096",,"","",0,0,0,0,,0,0,,0
"E2-ROT18",,"","",0,0,0,0,,0,0,,0
"E2-ROT24",,"","",0,0,0,0,,0,0,,0
"E2-ROT30",,"","",0,0,0,0,,0,0,,0
"E2-ROT33",,"","",0,0,0,0,,0,0,,0
"E2-ROT36",,"","",0,0,0,0,,0,0,,0
"E2-SAMPLE DOOR",,"","",0,0,0,0,,0,0,,0
"E2-SB30",,"","",224,0,0,224,,0,0,,0
"E2-SB33",,"","",89,0,0,89,,0,0,,0
"E2-SB36",,"","",202,0,0,202,,0,0,,0
"E2-SBA36",,"","",115,0,0,115,,0,0,,0
"E2-SHG30",,"","",9,0,0,9,,0,0,,0
"E2-SM8",,"","",47,0,0,47,,0,0,,0
"E2-SP3*34.5",,"","",0,0,0,0,,0,0,,0
"E2-TK8",,"","",652,0,0,652,,0,0,,0
"E2-TOUCH UP",,"","",5,0,0,5,,0,0,,0
"E2-VA2421",,"","",33,0,0,33,,0,0,,0
"E2-VA3021",,"","",8,0,0,8,,0,0,,0
"E2-VA3621",,"","",3,0,0,3,,0,0,,0
"E2-VAD3021-L",,"","",3,0,0,3,,0,0,,0
"E2-VAD3021-R",,"","",0,0,0,0,,0,0,,0
"E2-VAD3621-L",,"","",3,0,0,3,,0,0,,0
"E2-VAD3621-R",,"","",0,0,0,0,,0,0,,0
"E2-VAD4821",,"","",1,0,0,1,,0,0,,0
"E2-VAS36",,"","",10,0,0,10,,0,0,,0
"E2-VAS48",,"","",28,0,0,28,,0,0,,0
"E2-VAS72",,"","",0,0,0,0,,0,0,,0
"E2-VDB12",,"","",1,0,0,1,,0,0,,0
"E2-VDB15",,"","",2,0,0,2,,0,0,,0
"E2-W0930",,"","",89,0,0,89,,0,0,,0
"E2-W0939",,"","",78,0,0,78,,0,0,,0
"E2-W1230",,"","",188,0,0,188,,0,0,,0
"E2-W1239",,"","",176,0,0,176,,0,0,,0
"E2-W1530",,"","",173,0,0,173,,0,0,,0
"E2-W1539",,"","",113,0,0,113,,0,0,,0
"E2-W1830",,"","",139,0,0,139,,0,0,,0
"E2-W1839",,"","",71,0,0,71,,0,0,,0
"E2-W2130",,"","",81,0,0,81,,0,0,,0
"E2-W2139",,"","",104,0,0,104,,0,0,,0
"E2-W2412",,"","",15,0,0,15,,0,0,,0
"E2-W2415",,"","",11,0,0,11,,0,0,,0
"E2-W2418",,"","",0,0,0,0,,0,0,,0
"E2-W2421",,"","",21,0,0,21,,0,0,,0
"E2-W2424",,"","",24,0,0,24,,0,0,,0
"E2-W2430",,"","",168,0,0,168,,0,0,,0
"E2-W2439",,"","",209,0,0,209,,0,0,,0
"E2-W2730",,"","",87,0,0,87,,0,0,,0
"E2-W2739",,"","",91,0,0,91,,0,0,,0
"E2-W3012",,"","",172,0,0,172,,0,0,,0
"E2-W301224",,"","",9,0,0,9,,0,0,,0
"E2-W3015",,"","",105,0,0,105,,0,0,,0
"E2-W301524",,"","",4,0,0,4,,0,0,,0
"E2-W3018",,"","",121,0,0,121,,0,0,,0
"E2-W301824",,"","",1,0,0,1,,0,0,,0
"E2-W3021",,"","",161,0,0,161,,0,0,,0
"E2-W302124",,"","",21,0,0,21,,0,0,,0
"E2-W3024",,"","",138,0,0,138,,0,0,,0
"E2-W302424",,"","",6,0,0,6,,0,0,,0
"E2-W3030",,"","",175,0,0,175,,0,0,,0
"E2-W3039",,"","",106,0,0,106,,0,0,,0
"E2-W3312",,"","",10,0,0,10,,0,0,,0
"E2-W331224",,"","",7,0,0,7,,0,0,,0
"E2-W3315",,"","",7,0,0,7,,0,0,,0
"E2-W331524",,"","",0,0,0,0,,0,0,,0
"E2-W3318",,"","",6,0,0,6,,0,0,,0
"E2-W3321",,"","",4,0,0,4,,0,0,,0
"E2-W332124",,"","",2,0,0,2,,0,0,,0
"E2-W3324",,"","",5,0,0,5,,0,0,,0
"E2-W332424",,"","",1,0,0,1,,0,0,,0
"E2-W3330",,"","",73,0,0,73,,0,0,,0
"E2-W3339",,"","",59,0,0,59,,0,0,,0
"E2-W3612",,"","",34,0,0,34,,0,0,,0
"E2-W361224",,"","",27,0,0,27,,0,0,,0
"E2-W3615",,"","",12,0,0,12,,0,0,,0
"E2-W361524",,"","",1,0,0,1,,0,0,,0
"E2-W3618",,"","",20,0,0,20,,0,0,,0
"E2-W361824",,"","",14,0,0,14,,0,0,,0
"E2-W3621",,"","",30,0,0,30,,0,0,,0
"E2-W362124",,"","",59,0,0,59,,0,0,,0
"E2-W3624",,"","",27,0,0,27,,0,0,,0
"E2-W362424",,"","",3,0,0,3,,0,0,,0
"E2-W3630",,"","",205,0,0,205,,0,0,,0
"E2-W3639",,"","",104,0,0,104,,0,0,,0
"E2-W96 SHELF",,"","",0,0,0,0,,0,0,,0
"E2-WBC2730",,"","",10,0,0,10,,0,0,,0
"E2-WBC2739",,"","",10,0,0,10,,0,0,,0
"E2-WDC2430",,"","",136,0,0,136,,0,0,,0
"E2-WDC2439",,"","",137,0,0,137,,0,0,,0
"E2-WEA1230",,"","",4,0,0,4,,0,0,,0
"E2-WEA1239",,"","",8,0,0,8,,0,0,,0
"E2-WES1230",,"","",0,0,0,0,,0,0,,0
"E2-WES630",,"","",13,0,0,13,,0,0,,0
