,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"CW2-W2421",,0,0,5,6,0,-1,,0,0,,0
"CW2-W2424",,0,0,6,13,0,-7,,0,0,,0
"CW2-W2430",,0,0,32,24,0,8,,0,0,,0
"CW2-W2439",,0,0,46,65,0,-19,,0,0,,0
"CW2-W2730",,0,0,26,102,0,-76,,0,0,,0
"CW2-W2739",,0,0,2,14,0,-12,,0,0,,0
"CW2-W3012",,0,0,3,0,0,3,,0,0,,0
"CW2-W301224",,0,0,2,0,0,2,,0,0,,0
"CW2-W3015",,0,0,10,58,0,-48,,0,0,,0
"CW2-W301524",,0,0,3,4,0,-1,,0,0,,0
"CW2-W3018",,0,0,27,26,0,1,,0,0,,0
"CW2-W301824",,0,0,4,8,0,-4,,0,0,,0
"CW2-W3021",,0,0,58,27,0,31,,0,0,,0
"CW2-W302124",,0,0,4,0,0,4,,0,0,,0
"CW2-W3024",,0,0,19,44,0,-25,,0,0,,0
"CW2-W302424",,0,0,2,8,0,-6,,2,0,"10/09/2020",0
"CW2-W3030",,0,0,25,90,0,-65,,0,0,,0
"CW2-W3039",,0,0,48,24,0,24,,0,0,,0
"CW2-W3312",,0,0,0,0,0,0,"X",0,1,,0
"CW2-W331224",,0,0,0,1,0,-1,,1,0,"12/03/2018",0
"CW2-W3315",,0,0,2,8,0,-6,,0,0,,0
"CW2-W331524",,0,0,3,0,0,3,,0,0,,0
"CW2-W3318",,0,0,1,0,0,1,,0,0,,0
"CW2-W3321",,0,0,6,0,0,6,,0,0,,0
"CW2-W332124",,0,0,4,2,0,2,,0,0,,0
"CW2-W3324",,0,0,3,4,0,-1,,0,0,,0
"CW2-W332424",,0,0,0,0,0,0,"X",0,1,,0
"CW2-W3330",,0,0,13,22,0,-9,,0,0,,0
"CW2-W3339",,0,0,1,0,0,1,,0,0,,0
"CW2-W3612",,0,0,2,3,0,-1,,0,0,,0
"CW2-W361224",,0,0,5,23,0,-18,,2,0,"01/13/2021",0
"CW2-W3615",,0,0,3,2,0,1,,0,0,,0
"CW2-W361524",,0,0,4,0,0,4,,0,0,,0
"CW2-W3618",,0,0,1,3,0,-2,,0,0,,0
"CW2-W361824",,0,0,4,0,0,4,,0,0,,0
"CW2-W3621",,0,0,9,5,0,4,,0,0,,0
"CW2-W362124",,0,0,15,0,0,15,,0,0,,0
"CW2-W3624",,0,0,3,5,0,-2,,0,0,,0
"CW2-W362424",,0,0,4,9,0,-5,,0,0,,0
