,Pref Vendor,Reorder Pt (Min),Max,On Hand,On Sales Order,For Assemblies,Available,Order,On PO,Reorder Qty,Next Deliv,Sales/Week
Inventory333,,,,,,,,,,,,
CS3-WES939,,,,0,0,0,0,,0,0,,0
CS3-WES939-L,,,,0,0,0,0,,0,0,,0
CS3-WES939-R,,,,0,0,0,0,,0,0,,0
CS3-WF330,,,,0,0,0,0,,0,0,,0
CS3-WF339,,,,0,0,0,0,,0,0,,0
CS3-WF396,,,,0,0,0,0,,0,0,,0
CS3-WF630,,,,0,0,0,0,,0,0,,0
CS3-WF639,,,,0,0,0,0,,0,0,,0
CS3-WF696,,,,0,0,0,0,,0,0,,0
CS3-WRC3018,,,,0,0,0,0,,0,0,,0
CS3-WRP1230,,,,0,0,0,0,,0,0,,0
CS3-WRP1239,,,,0,0,0,0,,0,0,,0
CW-WRP1239,,,,0,0,0,0,,0,0,,0
CW2-B09,,,,13,0,0,13,,0,0,,0
CW2-B12,,,,36,0,0,36,,0,0,,0
CW2-B15,,,,13,0,0,13,,0,0,,35
CW2-B18,,,,11,0,0,11,,0,0,,0
CW2-B21,,,,10,0,0,10,,0,0,,28
CW2-B24,,,,75,0,0,75,,0,0,,0
CW2-B27,,,,16,0,0,16,,0,0,,0
CW2-B30,,,,50,0,0,50,,0,0,,0
CW2-B33,,,,10,0,0,10,,0,0,,0
CW2-B36,,,,5,0,0,5,,0,0,,0
CW2-B96 SHELF,,,,0,0,0,0,,0,0,,0
CW2-BBC36,,,,0,0,0,0,,0,0,,0
CW2-BBC42,,,,3,0,0,3,,0,0,,0
CW2-BBM,,,,5,0,0,5,,0,0,,0
CW2-BEA12-L,,,,2,0,0,2,,0,0,,0
CW2-BEA12-R,,,,1,0,0,1,,0,0,,0
CW2-BEA24,,,,0,0,0,0,,4,0,02/29/2024,0
CW2-BEOS6,,,,2,0,0,2,,0,0,,0
CW2-BEOS9,,,,0,0,0,0,,0,0,,0
CW2-BF3,,,,84,0,0,84,,0,0,,0
CW2-BF6,,,,2,0,0,2,,0,0,,0
CW2-BFF3,,,,0,0,0,0,,0,0,,0
CW2-BMC30,,,,8,0,0,8,,0,0,,0
CW2-BRP2430,,,,55,0,0,55,,0,0,,0
CW2-BSR9,,,,9,0,0,9,,0,0,,0
CW2-CM2 3/4,,,,5,0,0,5,,0,0,,0
CW2-CM8,,,,234,0,0,234,,0,0,,0
CW2-DB12,,,,6,0,0,6,,0,0,,0
CW2-DB15,,,,5,0,0,5,,0,0,,0
CW2-DB18,,,,5,0,0,5,,0,0,,0
CW2-DB21,,,,0,0,0,0,,0,0,,0
CW2-DB24,,,,17,0,0,17,,0,0,,0
CW2-DB30,,,,4,0,0,4,,0,0,,0
CW2-DB36,,,,0,0,0,0,,0,0,,0
CW2-DDB30,,,,6,0,0,6,,0,0,,0
CW2-DDB36,,,,2,0,0,2,,0,0,,0
CW2-DWP,,,,19,0,0,19,,0,0,,0
CW2-FSB33,,,,4,0,0,4,,0,0,,7
CW2-FSB39,,,,3,0,0,3,,0,0,,0
CW2-GW1530-BOX,,,,0,0,0,0,,0,0,,0
CW2-GW1530-GLASS DOOR,,,,0,0,0,0,,0,0,,0
CW2-GW1539-BOX,,,,0,0,0,0,,0,0,,0
CW2-GW1539-GLASS DOOR,,,,2,0,0,2,,0,0,,0
CW2-GW1830-BOX,,,,0,0,0,0,,0,0,,0
CW2-GW1830-GLASS DOOR,,,,0,0,0,0,,0,0,,0
CW2-GW1839-BOX,,,,3,0,0,3,,0,0,,0
CW2-GW1839-GLASS DOOR,,,,2,0,0,2,,0,0,,0
CW2-GW2430-BOX,,,,9,0,0,9,,0,0,,0
CW2-GW2430-GLASS DOOR,,,,5,0,0,5,,0,0,,0
CW2-GW2439-BOX,,,,7,0,0,7,,0,0,,0
CW2-GW2439-GLASS DOOR,,,,9,0,0,9,,0,0,,0
CW2-GW3030-BOX,,,,1,0,0,1,,0,0,,0
CW2-GW3030-GLASS DOOR,,,,1,0,0,1,,0,0,,0
CW2-GW3039-BOX,,,,3,0,0,3,,0,0,,0
CW2-GW3039-GLASS DOOR,,,,8,0,0,8,,0,0,,0
CW2-GW3630-BOX,,,,0,0,0,0,,0,0,,0
CW2-GW3630-GLASS DOOR,,,,0,0,0,0,,0,0,,0
CW2-GW3639-BOX,,,,5,0,0,5,,0,0,,0
CW2-GW3639-GLASS DOOR,,,,7,0,0,7,,0,0,,0
CW2-GWDC2430-BOX,,,,5,0,0,5,,0,0,,0
CW2-GWDC2430-GLASS DOOR,,,,4,0,0,4,,0,0,,0
CW2-GWDC2439-BOX,,,,23,0,0,23,,0,0,,0
CW2-GWDC2439-GLASS DOOR,,,,16,0,0,16,,0,0,,0
CW2-LM8,,,,25,0,0,25,,0,0,,0
CW2-LSB33,,,,7,0,0,7,,0,0,,0
CW2-LSB36,,,,36,0,0,36,,0,0,,0
CW2-MWC2730,,,,0,0,0,0,,0,0,,0
CW2-MWC2739,,,,4,0,0,4,,0,0,,0
CW2-MWC3030,,,,2,0,0,2,,0,0,,0
CW2-MWC3039,,,,1,0,0,1,,0,0,,0
CW2-OC3384,,,,0,0,0,0,,0,0,,0
CW2-OC3393,,,,1,0,0,1,,0,0,,0
CW2-OCM8,,,,42,0,0,42,,0,0,,0
CW2-ONL-RB3*3,,,,8,0,0,8,,0,0,,0
CW2-PC1884,,,,3,0,0,3,,0,0,,0
CW2-PC1893,,,,14,0,0,14,,0,0,,0
CW2-PC2484,,,,3,0,0,3,,0,0,,0
CW2-PC2493,,,,2,0,0,2,,0,0,,0
CW2-PC3084,,,,0,0,0,0,,0,0,,0
CW2-PC3093,,,,3,0,0,3,,0,0,,0
CW2-PN4896,,,,47,0,0,47,,0,0,,7
CW2-PRC3018,,,,0,0,0,0,,0,0,,0
CW2-RC58,,,,8,0,0,8,,0,0,,0
CW2-REF2496,,,,136,0,0,136,,0,0,,0
CW2-REF3096,,,,1,0,0,1,,2,0,03/09/2024,0
CW2-ROT18,,,,0,0,0,0,,0,0,,0
CW2-ROT24,,,,0,0,0,0,,0,0,,0
CW2-ROT30,,,,0,0,0,0,,0,0,,0
CW2-ROT33,,,,0,0,0,0,,0,0,,0
CW2-ROT36,,,,0,0,0,0,,0,0,,0
CW2-SAMPLE DOOR,,,,0,0,0,0,,0,0,,0
CW2-SB27,,,,6,0,0,6,,0,0,,0
CW2-SB30,,,,10,0,0,10,,0,0,,0
CW2-SB33,,,,8,0,0,8,,0,0,,0
CW2-SB36,,,,17,0,0,17,,0,0,,28
CW2-SBA36,,,,19,0,0,19,,0,0,,0
CW2-SHG30,,,,2,0,0,2,,0,0,,0
CW2-SM8,,,,79,0,0,79,,0,0,,0
CW2-SOB,,,,0,0,0,0,,0,0,,0
CW2-SP3*34.5,,,,9,0,0,9,,0,0,,0
CW2-TK8,,,,165,0,0,165,,0,0,,0
CW2-TOUCH UP,,,,26,0,0,26,,0,0,,0
CW2-VA2421,,,,9,0,0,9,,0,0,,0
CW2-VA3021,,,,0,0,0,0,,0,0,,0
CW2-VA3621,,,,2,0,0,2,,0,0,,7
CW2-VAD3021-L,,,,0,0,0,0,,0,0,,0
CW2-VAD3021-R,,,,3,0,0,3,,0,0,,0
CW2-VAD3621-L,,,,2,0,0,2,,0,0,,0
CW2-VAD3621-R,,,,2,0,0,2,,0,0,,0
CW2-VAD4821,,,,0,0,0,0,,0,0,,0
CW2-VAS36,,,,3,0,0,3,,0,0,,0
CW2-VAS48,,,,12,0,0,12,,0,0,,0
CW2-VAS72,,,,5,0,0,5,,0,0,,0
CW2-VDB12,,,,3,0,0,3,,0,0,,0
CW2-VDB15,,,,4,0,0,4,,0,0,,0
CW2-W0930,,,,1,0,0,1,,0,0,,0
CW2-W0939,,,,11,0,0,11,,0,0,,0
CW2-W1230,,,,12,0,0,12,,0,0,,0
CW2-W1239,,,,51,0,0,51,,0,0,,0
CW2-W1530,,,,3,0,0,3,,0,0,,0
CW2-W1539,,,,27,0,0,27,,0,0,,28
CW2-W1830,,,,1,0,0,1,,0,0,,0
CW2-W1839,,,,10,0,0,10,,0,0,,0
CW2-W2130,,,,9,0,0,9,,0,0,,0
CW2-W2139,,,,34,0,0,34,,0,0,,0
CW2-W2412,,,,0,0,0,0,,0,0,,0
